,Region,Number of Taxa
0,ABT,105
1,AFG,172
2,AGE,185
3,AGS,60
4,AGW,158
5,ALA,172
6,ALB,356
7,ALD,12
8,ALG,260
9,ALT,193
10,ALU,24
11,AMU,114
12,AND,106
13,ANG,104
14,ARI,155
15,ARK,131
16,ARU,24
17,ASC,7
18,ASK,88
19,ASP,2
20,ASS,300
21,ATP,11
22,AUT,370
23,AZO,59
24,BAH,68
25,BAL,145
26,BAN,207
27,BEN,66
28,BER,19
29,BGM,273
30,BIS,50
31,BKN,53
32,BLR,219
33,BLT,221
34,BLZ,146
35,BOL,359
36,BOR,181
37,BOT,61
38,BRC,123
39,BRY,149
40,BUL,374
41,BUR,75
42,BZC,230
43,BZE,263
44,BZL,311
45,BZN,246
46,BZS,255
47,CAB,14
48,CAF,87
49,CAL,172
50,CAY,44
51,CBD,173
52,CGS,5
53,CHA,66
54,CHC,432
55,CHH,160
56,CHI,134
57,CHM,157
58,CHN,229
59,CHQ,77
60,CHS,339
61,CHT,211
62,CHX,151
63,CKI,5
64,CLC,96
65,CLM,364
66,CLN,67
67,CLS,42
68,CMN,128
69,CNT,137
70,CNY,90
71,COL,141
72,COM,59
73,CON,77
74,COO,16
75,COR,238
76,COS,250
77,CPI,13
78,CPP,180
79,CPV,11
80,CRL,52
81,CRZ,2
82,CTA,131
83,CTM,19
84,CUB,167
85,CVI,39
86,CYP,122
87,CZE,359
88,DEL,116
89,DEN,197
90,DJI,29
91,DOM,138
92,EAI,156
93,EAS,1
94,ECU,294
95,EGY,95
96,EHM,327
97,ELS,136
98,EQG,28
99,ERI,70
100,ETH,140
101,FAL,9
102,FIJ,57
103,FIN,187
104,FLA,161
105,FOR,60
106,FRA,547
107,FRG,171
108,GAB,90
109,GAL,29
110,GAM,35
111,GEO,160
112,GER,394
113,GGI,74
114,GHA,89
115,GIL,9
116,GNB,51
117,GNL,50
118,GRB,254
119,GRC,366
120,GST,49
121,GUA,235
122,GUI,72
123,GUY,190
124,HAI,136
125,HAW,23
126,HBI,1
127,HON,233
128,HUN,298
129,ICE,77
130,IDA,119
131,ILL,152
132,IND,290
133,INI,136
134,IOW,112
135,IRE,193
136,IRK,148
137,IRN,290
138,IRQ,173
139,ITA,498
140,IVO,91
141,JAM,122
142,JAP,248
143,JAW,200
144,JNF,11
145,KAM,96
146,KAN,111
147,KAZ,236
148,KEG,4
149,KEN,137
150,KER,8
151,KGZ,146
152,KHA,133
153,KOR,197
154,KRA,169
155,KRI,161
156,KRY,232
157,KTY,133
158,KUR,100
159,KUW,24
160,KZN,25
161,LAB,54
162,LAO,207
163,LBR,79
164,LBS,224
165,LBY,133
166,LDV,21
167,LEE,103
168,LES,42
169,LIN,3
170,LOU,137
171,LSI,145
172,MAG,88
173,MAI,126
174,MAN,101
175,MAQ,3
176,MAS,139
177,MAU,58
178,MCI,7
179,MDG,129
180,MDR,66
181,MDV,18
182,MIC,147
183,MIN,131
184,MLI,51
185,MLW,98
186,MLY,233
187,MNT,129
188,MOL,102
189,MON,164
190,MOR,279
191,MOZ,123
192,MPE,2
193,MRN,29
194,MRQ,18
195,MRS,8
196,MRY,136
197,MSI,138
198,MSO,132
199,MTN,47
200,MXC,224
201,MXE,293
202,MXG,268
203,MXI,10
204,MXN,202
205,MXS,299
206,MXT,261
207,MYA,349
208,NAM,69
209,NAT,109
210,NBR,103
211,NCA,166
212,NCB,74
213,NCS,285
214,NDA,91
215,NEB,105
216,NEP,291
217,NET,236
218,NEV,130
219,NFK,20
220,NFL,81
221,NGA,106
222,NGR,37
223,NIC,196
224,NLA,31
225,NNS,121
226,NOR,208
227,NRU,6
228,NSC,99
229,NSW,123
230,NTA,66
231,NUE,17
232,NUN,42
233,NWC,51
234,NWG,174
235,NWH,125
236,NWJ,139
237,NWM,159
238,NWT,75
239,NWY,173
240,NZN,40
241,NZS,40
242,OFS,64
243,OGA,32
244,OHI,139
245,OKL,139
246,OMA,64
247,ONT,153
248,ORE,138
249,PAK,213
250,PAL,157
251,PAN,223
252,PAR,175
253,PEI,71
254,PEN,158
255,PER,341
256,PHI,221
257,PIT,6
258,POL,313
259,POR,283
260,PRM,143
261,PUE,111
262,QLD,164
263,QUE,140
264,REU,68
265,RHO,113
266,ROD,16
267,ROM,352
268,RUC,247
269,RUE,247
270,RUN,193
271,RUS,217
272,RUW,205
273,RWA,78
274,SAK,108
275,SAM,49
276,SAR,217
277,SAS,96
278,SAU,108
279,SCA,156
280,SCI,35
281,SCS,22
282,SCZ,14
283,SDA,108
284,SEL,9
285,SEN,64
286,SEY,28
287,SGE,3
288,SIC,254
289,SIE,65
290,SIN,70
291,SOA,50
292,SOC,28
293,SOL,75
294,SOM,65
295,SPA,506
296,SRL,184
297,SSA,1
298,STH,7
299,SUD,114
300,SUL,149
301,SUM,191
302,SUR,165
303,SVA,17
304,SWC,19
305,SWE,244
306,SWI,369
307,SWZ,75
308,TAI,242
309,TAN,161
310,TAS,49
311,TCI,25
312,TCS,317
313,TDC,9
314,TEN,143
315,TEX,211
316,THA,324
317,TKM,130
318,TOG,55
319,TOK,6
320,TON,31
321,TRT,116
322,TUA,9
323,TUB,21
324,TUE,232
325,TUN,188
326,TUR,401
327,TUV,3
328,TVA,126
329,TVL,110
330,TZK,153
331,UGA,127
332,UKR,336
333,URU,113
334,UTA,151
335,UZB,142
336,VAN,42
337,VEN,335
338,VER,132
339,VIC,65
340,VIE,339
341,VNA,49
342,VRG,162
343,WAL,24
344,WAS,126
345,WAU,89
346,WDC,83
347,WHM,270
348,WIN,97
349,WIS,140
350,WSA,23
351,WSB,202
352,WVA,124
353,WYO,127
354,XMS,14
355,YAK,128
356,YEM,99
357,YUG,450
358,YUK,78
359,ZAI,149
360,ZAM,100
361,ZIM,114
