,v14_v16
number of new accepted species names,367479
number of old accepted species names,364367
new accepted species names which were previously published,361963
number of new species names,1046052
number of old species names,1039899
new species names not in old,10317
species names have disappearedbut this could be due to orthographic changes with authorship,4164
