,taxon_name_w_authors,v12_direct_accepted_name_w_author,v12_direct_accepted_species_w_author
count,1361139,1361139,1319935
unique,1361139,428535,357513
top,Elymus czimganicus (Drobow) Tzvelev,Rosa canina L.,Rosa canina L.
freq,1,1096,1096
