,taxon_name_w_authors,v11_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species_w_author,v12_direct_accepted_name_w_author,v12_direct_accepted_species_w_author
count,1571,1571,1571,1560,1559,1571,1571
unique,1571,769,769,765,760,835,821
top,Sedum taiwanianum S.S.Ying,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca vesicaria (L.) Cav.,Eruca sativa Mill.,Eruca sativa Mill.
freq,1,61,61,61,61,48,48
