,taxon_name_w_authors,v11_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species_w_author,v12_direct_accepted_name_w_author,v12_direct_accepted_species_w_author,v12_chained_accepted_genus,v12_direct_accepted_genus
count,136,136,136,136,135,136,136,135,136
unique,136,75,75,75,74,77,77,71,70
top,Eugenia doniana O.Berg,Reicheocactus famatinensis (Speg.) Schlumpb.,Reicheocactus famatinensis (Speg.) Schlumpb.,Reicheocactus famatinensis (Speg.) Schlumpb.,Reicheocactus famatinensis (Speg.) Schlumpb.,Echinopsis densispina Werderm.,Echinopsis densispina Werderm.,Reicheocactus,Echinopsis
freq,1,17,17,17,17,17,17,17,19
