,taxon_name_w_authors,v11_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species_w_author
count,1362381,1362381,1362381,1362186,1321063
unique,1362381,428167,428167,427213,356538
top,Stachys pustulosa Rydb.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina L.
freq,1,1128,1128,1128,1128
