,v11_v15
number of old unaccepted species names,668725
old unaccepted species names are now accepted,4057
Number of old Synonyms which are now accepted,3414
Number of old Unplaceds which are now accepted,429
Number of old Illegitimates which are now accepted,187
Number of old Invalids which are now accepted,23
Number of old Misapplieds which are now accepted,5
Number of old Orthographics which are now accepted,1
