,v12_v15
number of new accepted species names,364351
number of old accepted species names,358923
new accepted species names which were previously published,354326
number of new species names,1040026
number of old species names,1028366
new species names not in old,21147
species names have disappearedbut this could be due to orthographic changes with authorship,9487
