,v15_v16
number of new accepted species names,367479
number of old accepted species names,364351
new accepted species names which were previously published,362555
number of new species names,1046052
number of old species names,1040026
new species names not in old,8384
species names have disappearedbut this could be due to orthographic changes with authorship,2358
