,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
count,1382124,1394093,1394093,1394093,1394093,1352343,1352343,1352343.0,1352042,1352343,1439696.0,1294387,1436964,1439696,1439696,5198,1439696,28537,1397670,353809,356541,426347,1419460,141378,1438959,1418036,1418184,98462,442252,397187,479519,1439696,1419484,1400367.0,468068.0,43443,304108,457889.0,1439696,15596,1439546,1352347,1352347,1349840,1352347.0,1439696
unique,432434,435773,435781,457,9,34112,34112,,34103,2,,1294387,33,8,461,2,39847,2,184014,31,72260,21270,78714,2172,15909,240392,1072,1273,69076,356,9,1386367,242806,,,5548,1,,1439696,14549,2,364349,364351,363516,,1437902
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,Rosa,Rosa L.,,30002432-2,Genus,,235064-2,Species,Synonym,Asteraceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Revis. Gen. Pl.,: 13,(1891),", nom. illeg.",Madagascar,perennial,wet tropical,Rosa inermis,DC.,,,L.,T,,235071-2,S. alba × S. euxina,N,Rosa canina,Rosa canina L.,731955-1,,Orchis angustifolia subf. immaculata Klinge
freq,1128,1128,1128,129823,1108195,8762,8762,,8762,1108191,,1,1041135,875860,137538,5158,19968,28532,2940,228611,2472,16024,31378,15748,30711,898,34506,38638,6841,75932,175792,10,10065,,,4181,304108,,1,17,802336,1128,1128,1128,,9
mean,,,,,,,,1794812.1593116538,,,1879045.5696480367,,,,,,,,,,,,,,,,,,,,,,,1885921.5785390544,1774273.2576591435,,,1812868.477956448,,,,,,,1840221.8342740436,
std,,,,,,,,1250302.0448382637,,,1260277.336497645,,,,,,,,,,,,,,,,,,,,,,,1276124.0207011292,1267653.3660942116,,,1257716.146363855,,,,,,,1246838.6190277396,
min,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,2.0,
25%,,,,,,,,293559.0,,,365126.75,,,,,,,,,,,,,,,,,,,,,,,368031.0,298552.75,,,270809.0,,,,,,,357212.0,
50%,,,,,,,,2483149.0,,,2537949.5,,,,,,,,,,,,,,,,,,,,,,,2539803.0,2475991.0,,,2498518.0,,,,,,,2503981.0,
75%,,,,,,,,2809245.0,,,2936726.25,,,,,,,,,,,,,,,,,,,,,,,2994239.5,2844889.5,,,2822224.0,,,,,,,2860687.0,
max,,,,,,,,3321585.0,,,3322263.0,,,,,,,,,,,,,,,,,,,,,,,3322262.0,3322248.0,,,3321585.0,,,,,,,3322262.0,
