,accepted_ipni_id,accepted_name,accepted_name_w_author,accepted_family,accepted_rank,accepted_parent,accepted_parent_w_author,accepted_parent_id,accepted_parent_ipni_id,accepted_parent_rank,plant_name_id,ipni_id,taxon_rank,taxon_status,family,genus_hybrid,genus,species_hybrid,species,infraspecific_rank,infraspecies,parenthetical_author,primary_author,publication_author,place_of_publication,volume_and_page,first_published,nomenclatural_remarks,geographic_area,lifeform_description,climate_description,taxon_name,taxon_authors,accepted_plant_name_id,basionym_plant_name_id,replaced_synonym_author,homotypic_synonym,parent_plant_name_id,powo_id,hybrid_formula,reviewed,accepted_species,accepted_species_w_author,accepted_species_ipni_id,accepted_species_id,taxon_name_w_authors
count,1389004,1402810,1402810,1402810,1402810,1360916,1360916,1360916.0,1360417,1360916,1447532.0,1301430,1444788,1447532,1447532,5275,1447532,29024,1405390,355488,358232,430510,1427212,141827,1446804,1425674,1426261,99251,445055,401130,485052,1447532,1427236,1408953.0,472863.0,44093,308033,460392.0,1447532,16028,1447422,1360922,1360922,1357652,1360922.0,1447532
unique,435295,439070,439080,458,9,34168,34174,,34161,2,,1301430,33,8,461,2,39957,2,185322,31,72505,21661,80141,2168,16015,238852,1073,1304,69644,359,9,1394103,246057,,,5659,1,,1447532,14868,2,367475,367479,366407,,1445726
top,731955-1,Rosa canina,Rosa canina L.,Asteraceae,Species,Rosa,Rosa L.,,30002432-2,Genus,,77126880-1,Species,Synonym,Asteraceae,×,Hieracium,×,vulgaris,var.,minor,L.,Kuntze,A.P.de Candolle,Revis. Gen. Pl.,: 13,(1891),", nom. illeg. homonym. post.",Madagascar,perennial,wet tropical,Rosa inermis,DC.,,,L.,T,,77126880-1,S. alba × S. euxina,N,Rosa canina,Rosa canina L.,731955-1,,Orchis angustifolia subf. immaculata Klinge
freq,1128,1128,1128,130432,1115873,8793,8793,,8793,1115867,,1,1047164,880359,138118,5235,20007,29019,2947,229452,2485,16078,31379,15744,30713,908,34512,36424,6903,76689,177846,10,10055,,,4228,308033,,1,17,806326,1128,1128,1128,,9
mean,,,,,,,,1795198.5058512061,,,1887157.8192634084,,,,,,,,,,,,,,,,,,,,,,,1895486.2243630553,1776820.5454159027,,,1810901.04626275,,,,,,,1848569.007638939,
std,,,,,,,,1250837.0262836507,,,1261392.217547949,,,,,,,,,,,,,,,,,,,,,,,1277673.2505556839,1267849.2564801069,,,1258319.355498522,,,,,,,1248774.126374869,
min,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,3.0,,,1.0,,,,,,,2.0,
25%,,,,,,,,293559.0,,,367156.75,,,,,,,,,,,,,,,,,,,,,,,370711.0,299511.5,,,268589.0,,,,,,,360903.25,
50%,,,,,,,,2483753.0,,,2542535.5,,,,,,,,,,,,,,,,,,,,,,,2546214.0,2476396.0,,,2498088.0,,,,,,,2507765.0,
75%,,,,,,,,2809363.0,,,2943367.25,,,,,,,,,,,,,,,,,,,,,,,2999509.0,2847511.0,,,2821875.0,,,,,,,2866469.75,
max,,,,,,,,3331948.0,,,3331952.0,,,,,,,,,,,,,,,,,,,,,,,3331951.0,3331875.0,,,3331948.0,,,,,,,3331946.0,
