,v10_v15
number of old unaccepted species names,667697
old unaccepted species names are now accepted,4474
Number of old Synonyms which are now accepted,3705
Number of old Unplaceds which are now accepted,548
Number of old Invalids which are now accepted,24
Number of old Illegitimates which are now accepted,193
Number of old Orthographics which are now accepted,1
Number of old Misapplieds which are now accepted,4
