,v13_v15
number of new accepted species names,364351
number of old accepted species names,361633
new accepted species names which were previously published,358998
number of new species names,1040026
number of old species names,1034031
new species names not in old,12345
species names have disappearedbut this could be due to orthographic changes with authorship,6350
