,v10_v16
number of old accepted species names,356292
old accepted species names are no longer accepted,9941
Number which are now Synonym of which (homotypic)/(heterotypic),9282/5664/3619
Number which are now Illegitimate of which (homotypic)/(heterotypic),295/145/150
Number which are now Unplaced of which (homotypic)/(heterotypic),300/0/300
Number which are now Orthographic of which (homotypic)/(heterotypic),5/0/5
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Invalid of which (homotypic)/(heterotypic),58/2/56
