,taxon_name_w_authors,v15_direct_accepted_name_w_author,v15_direct_accepted_species
count,1351302,1351302,1310314
unique,1351302,426943,357042
top,Seruneum puberulum Kuntze,Rosa canina L.,Rosa canina
freq,1,1079,1079
