,v11_v15,Percentages
original_names,1367679,100.0
total_disagreements,12834,0.9383780843311917
species_disagreements,7097,0.5189083110876164
genus_disagreements,717,0.05242458208395391
unresolved_via_chaining_despite_a_direct_resolution,36,0.0026321965899893177
