,taxon_name_w_authors,v11_accepted_name_w_author,v15_taxon_name_w_authors,v15_chained_accepted_name_w_author,v15_chained_accepted_species,v15_direct_accepted_name_w_author,v15_direct_accepted_species,v15_chained_accepted_genus,v15_direct_accepted_genus
count,717,717,717,717,411,717,413,717,717
unique,717,368,368,367,213,416,219,344,378
top,Austrocylindropuntia colubrina (A.Cast.) Backeb.,Eria javanica (Sw.) Blume,Eria javanica (Sw.) Blume,Bulbophyllum gibbosum (Blume) Lindl.,Bulbophyllum gibbosum,Phyllanthus L.,Eria stellata,Bulbophyllum,Eria
freq,1,22,22,22,22,22,21,22,23
