,taxon_name_w_authors,v11_accepted_name_w_author,v15_taxon_name_w_authors,v15_chained_accepted_name_w_author,v15_chained_accepted_species
count,1348637,1348637,1348637,1347882,1306951
unique,1348637,425057,425057,421361,353022
top,Vernonanthura schulziana (Cabrera) H.Rob.,Rosa canina L.,Rosa canina L.,Rosa canina L.,Rosa canina
freq,1,1128,1128,1128,1128
