,v14_v15
number of old accepted species names,364367
old accepted species names are no longer accepted,1310
Number which are now Synonym of which (homotypic)/(heterotypic),1001/394/607
Number which are now Illegitimate of which (homotypic)/(heterotypic),170/59/111
Number which are now Unplaced of which (homotypic)/(heterotypic),109/0/109
Number which are now Invalid of which (homotypic)/(heterotypic),24/1/23
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Orthographic of which (homotypic)/(heterotypic),1/0/1
