,v12_v16
number of old unaccepted species names,669726
old unaccepted species names are now accepted,3999
Number of old Synonyms which are now accepted,3397
Number of old Unplaceds which are now accepted,387
Number of old Illegitimates which are now accepted,180
Number of old Invalids which are now accepted,31
Number of old Misapplieds which are now accepted,5
Number of old Orthographics which are now accepted,1
