,v13_v16
number of old accepted species names,361633
old accepted species names are no longer accepted,5562
Number which are now Synonym of which (homotypic)/(heterotypic),5109/3247/1863
Number which are now Unplaced of which (homotypic)/(heterotypic),197/0/197
Number which are now Illegitimate of which (homotypic)/(heterotypic),215/90/125
Number which are now Orthographic of which (homotypic)/(heterotypic),3/0/3
Number which are now Misapplied of which (homotypic)/(heterotypic),5/2/3
Number which are now Invalid of which (homotypic)/(heterotypic),33/1/32
